latitude,longitude,scientificname,occurrenceRemarks,Year
41.793984, -107.18997,Coccinella transversoguttata,Note,2017
40.648682, -106.267136,Coccinella transversoguttata,Note,2017
40.560035, -108.135333,Coccinella transversoguttata,Note,2017
41.89247227, -111.41505782,Coccinella transversoguttata,Note,2017
40.0122972222, -105.6832416667,Coccinella transversoguttata,Note,2017
42.7661849605, -112.4370187149,Coccinella transversoguttata,Note,2017
44.4116352659, -114.4005489349,Coccinella transversoguttata,Note,2017
44.4754628055, -114.2110473521,Coccinella transversoguttata,Note,2017
40.0684822192, -105.0280952454,Coccinella transversoguttata,Note,2017
40.8661462389, -109.0250587463,Coccinella transversoguttata,Note,2017
38.8653533333, -106.91282,Coccinella transversoguttata,Note,2017
39.0022298337, -107.0231608764,Coccinella transversoguttata,Note,2017
40.3402966775, -105.5710011721,Coccinella transversoguttata,Note,2017
39.1920583333, -106.9375083333,Coccinella transversoguttata,Note,2017
37.703698, -106.506347,Coccinella transversoguttata,Note,2017
40.3402769845, -105.5725853519,Coccinella transversoguttata,Note,2017
38.95857, -106.9895083333,Coccinella transversoguttata,Note,2017
39.0024847122, -107.0232087309,Coccinella transversoguttata,Note,2017
40.341951816, -105.5752315523,Coccinella transversoguttata,Note,2017
37.485609, -106.145748,Coccinella transversoguttata,Note,2017
40.3401096836, -105.5730440534,Coccinella transversoguttata,Note,2017
41.407675, -105.72644,Coccinella transversoguttata,Note,2017
42.4585291892, -105.9451639652,Coccinella transversoguttata,Note,2017
44.5589216667, -110.3561633333,Coccinella transversoguttata,Note,2017
44.5186283333, -109.0535055,Coccinella transversoguttata,Note,2017
44.9334533426, -110.714635849,Coccinella transversoguttata,Note,2017
44.6967861405, -110.953245163,Coccinella transversoguttata,Note,2017
44.568961, -108.999016,Coccinella transversoguttata,Note,2017
