latitude,longitude,scientificname,occurrenceRemarks,Year
43.845921, -112.43499,Coccinella transversoguttata,Note,2008
43.8413696, -112.44107,Coccinella transversoguttata,Note,2008
44.0340614, -107.4492,Coccinella transversoguttata,Note,2008
41.6663692, -105.69111,Coccinella transversoguttata,Note,2008
44.4469399, -110.36401,Coccinella transversoguttata,Note,2008
43.8204843, -112.4388,Coccinella transversoguttata,Note,2008
44.0, -104.0,Coccinella transversoguttata,Note,2008
44.0805434, -103.23101,Coccinella transversoguttata,Note,2008
41.824251, -103.665,Coccinella transversoguttata,Note,2008
39.5500507, -105.78206,Coccinella transversoguttata,Note,2008
