,Species,gps,Year,nivalis_2007_18km,nivalis_2008_18km,nivalis_2009_18km,nivalis_2010_18km,nivalis_2011_18km,nivalis_2012_18km,nivalis_2013_18km,nivalis_2014_18km,nivalis_2015_18km,nivalis_2016_18km,nivalis_2017_18km,nivalis_2018_18km,nivalis_2019_18km,nivalis_2020_18km,nivalis_2021_18km,alpestris_2007_18km,alpestris_2008_18km,alpestris_2009_18km,alpestris_2010_18km,alpestris_2011_18km,alpestris_2012_18km,alpestris_2013_18km,alpestris_2014_18km,alpestris_2015_18km,alpestris_2016_18km,alpestris_2017_18km,alpestris_2018_18km,alpestris_2019_18km,alpestris_2020_18km,alpestris_2021_18km,mexicanus_2007_18km,mexicanus_2008_18km,mexicanus_2009_18km,mexicanus_2010_18km,mexicanus_2011_18km,mexicanus_2012_18km,mexicanus_2013_18km,mexicanus_2014_18km,mexicanus_2015_18km,mexicanus_2016_18km,mexicanus_2017_18km,mexicanus_2018_18km,mexicanus_2019_18km,mexicanus_2020_18km,mexicanus_2021_18km
22,Brachiacantha ursina,"(42.3106, -83.1955)",2009,1,6,2,1,5,1,3,3,3,3,3,0,3,2,9,2,3,4,2,2,2,2,6,16,9,15,14,12,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brachiacantha ursina,"(42.337237, -83.19795)",2009,1,6,3,0,5,1,4,2,3,2,2,0,2,2,5,2,3,4,1,2,1,1,5,9,5,8,11,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Brachiacantha ursina,"(43.1228561071, -79.0740314018)",2009,2,5,0,3,15,9,14,15,16,16,16,16,16,22,24,4,9,5,7,6,7,14,15,17,13,47,85,64,78,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Brachiacantha ursina,"(39.962974, -94.822187)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,3,1,0,4,2,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brachiacantha ursina,"(43.6433333, -74.004166)",2009,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Brachiacantha ursina,"(42.3750969, -71.105607)",2009,12,30,30,31,52,31,47,41,33,48,48,32,32,39,57,6,7,16,7,14,7,11,10,16,12,19,12,11,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Brachiacantha ursina,"(42.45551, -71.906877)",2009,6,4,7,5,12,5,11,10,6,14,17,10,26,25,31,3,8,3,5,4,4,3,9,20,8,4,3,9,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Brachiacantha ursina,"(42.7031, -85.80108)",2010,1,1,0,3,3,1,4,5,2,10,11,6,19,18,12,0,0,1,3,6,8,17,13,30,24,32,33,34,41,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brachiacantha ursina,"(44.62, -75.77)",2010,1,0,0,2,0,2,1,6,3,2,5,4,3,5,9,0,0,0,2,0,2,2,2,1,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Brachiacantha ursina,"(46.0497887292, -79.7816288335)",2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Brachiacantha ursina,"(42.459085, -71.275566)",2010,14,15,7,12,11,14,36,26,14,18,24,18,6,23,26,6,5,2,7,5,8,9,8,11,14,14,12,5,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
