,Species,gps,Year,septempunctata_2007_18km,septempunctata_2008_18km,septempunctata_2009_18km,septempunctata_2010_18km,septempunctata_2011_18km,septempunctata_2012_18km,septempunctata_2013_18km,septempunctata_2014_18km,septempunctata_2015_18km,septempunctata_2016_18km,septempunctata_2017_18km,septempunctata_2018_18km,septempunctata_2019_18km,septempunctata_2020_18km,septempunctata_2021_18km,variegata_2007_18km,variegata_2008_18km,variegata_2009_18km,variegata_2010_18km,variegata_2011_18km,variegata_2012_18km,variegata_2013_18km,variegata_2014_18km,variegata_2015_18km,variegata_2016_18km,variegata_2017_18km,variegata_2018_18km,variegata_2019_18km,variegata_2020_18km,variegata_2021_18km,axyridis_2007_18km,axyridis_2008_18km,axyridis_2009_18km,axyridis_2010_18km,axyridis_2011_18km,axyridis_2012_18km,axyridis_2013_18km,axyridis_2014_18km,axyridis_2015_18km,axyridis_2016_18km,axyridis_2017_18km,axyridis_2018_18km,axyridis_2019_18km,axyridis_2020_18km,axyridis_2021_18km,maculata_2007_18km,maculata_2008_18km,maculata_2009_18km,maculata_2010_18km,maculata_2011_18km,maculata_2012_18km,maculata_2013_18km,maculata_2014_18km,maculata_2015_18km,maculata_2016_18km,maculata_2017_18km,maculata_2018_18km,maculata_2019_18km,maculata_2020_18km,maculata_2021_18km,mali_2007_18km,mali_2008_18km,mali_2009_18km,mali_2010_18km,mali_2011_18km,mali_2012_18km,mali_2013_18km,mali_2014_18km,mali_2015_18km,mali_2016_18km,mali_2017_18km,mali_2018_18km,mali_2019_18km,mali_2020_18km,mali_2021_18km,stigma_2007_18km,stigma_2008_18km,stigma_2009_18km,stigma_2010_18km,stigma_2011_18km,stigma_2012_18km,stigma_2013_18km,stigma_2014_18km,stigma_2015_18km,stigma_2016_18km,stigma_2017_18km,stigma_2018_18km,stigma_2019_18km,stigma_2020_18km,stigma_2021_18km,trifasciata_2007_18km,trifasciata_2008_18km,trifasciata_2009_18km,trifasciata_2010_18km,trifasciata_2011_18km,trifasciata_2012_18km,trifasciata_2013_18km,trifasciata_2014_18km,trifasciata_2015_18km,trifasciata_2016_18km,trifasciata_2017_18km,trifasciata_2018_18km,trifasciata_2019_18km,trifasciata_2020_18km,trifasciata_2021_18km,polita_2007_18km,polita_2008_18km,polita_2009_18km,polita_2010_18km,polita_2011_18km,polita_2012_18km,polita_2013_18km,polita_2014_18km,polita_2015_18km,polita_2016_18km,polita_2017_18km,polita_2018_18km,polita_2019_18km,polita_2020_18km,polita_2021_18km,bipunctata_2007_18km,bipunctata_2008_18km,bipunctata_2009_18km,bipunctata_2010_18km,bipunctata_2011_18km,bipunctata_2012_18km,bipunctata_2013_18km,bipunctata_2014_18km,bipunctata_2015_18km,bipunctata_2016_18km,bipunctata_2017_18km,bipunctata_2018_18km,bipunctata_2019_18km,bipunctata_2020_18km,bipunctata_2021_18km,pullata_2007_18km,pullata_2008_18km,pullata_2009_18km,pullata_2010_18km,pullata_2011_18km,pullata_2012_18km,pullata_2013_18km,pullata_2014_18km,pullata_2015_18km,pullata_2016_18km,pullata_2017_18km,pullata_2018_18km,pullata_2019_18km,pullata_2020_18km,pullata_2021_18km,labiculata_2007_18km,labiculata_2008_18km,labiculata_2009_18km,labiculata_2010_18km,labiculata_2011_18km,labiculata_2012_18km,labiculata_2013_18km,labiculata_2014_18km,labiculata_2015_18km,labiculata_2016_18km,labiculata_2017_18km,labiculata_2018_18km,labiculata_2019_18km,labiculata_2020_18km,labiculata_2021_18km,gillamaculata_2007_18km,gillamaculata_2008_18km,gillamaculata_2009_18km,gillamaculata_2010_18km,gillamaculata_2011_18km,gillamaculata_2012_18km,gillamaculata_2013_18km,gillamaculata_2014_18km,gillamaculata_2015_18km,gillamaculata_2016_18km,gillamaculata_2017_18km,gillamaculata_2018_18km,gillamaculata_2019_18km,gillamaculata_2020_18km,gillamaculata_2021_18km,nivalis_2007_18km,nivalis_2008_18km,nivalis_2009_18km,nivalis_2010_18km,nivalis_2011_18km,nivalis_2012_18km,nivalis_2013_18km,nivalis_2014_18km,nivalis_2015_18km,nivalis_2016_18km,nivalis_2017_18km,nivalis_2018_18km,nivalis_2019_18km,nivalis_2020_18km,nivalis_2021_18km,alpestris_2007_18km,alpestris_2008_18km,alpestris_2009_18km,alpestris_2010_18km,alpestris_2011_18km,alpestris_2012_18km,alpestris_2013_18km,alpestris_2014_18km,alpestris_2015_18km,alpestris_2016_18km,alpestris_2017_18km,alpestris_2018_18km,alpestris_2019_18km,alpestris_2020_18km,alpestris_2021_18km,mexicanus_2007_18km,mexicanus_2008_18km,mexicanus_2009_18km,mexicanus_2010_18km,mexicanus_2011_18km,mexicanus_2012_18km,mexicanus_2013_18km,mexicanus_2014_18km,mexicanus_2015_18km,mexicanus_2016_18km,mexicanus_2017_18km,mexicanus_2018_18km,mexicanus_2019_18km,mexicanus_2020_18km,mexicanus_2021_18km
0,Brachiacantha ursina,"(42.459085, -71.275566)",2007,0.14285714285714285,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10810810810810811,0.13636363636363635,0.030303030303030304,0.3684210526315789,0.04411764705882353,0.07291666666666667,0.09090909090909091,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.5,0.14285714285714285,0.4166666666666667,0.3783783783783784,0.5263157894736842,0.0625,0.14285714285714285,0.5833333333333334,0.07692307692307693,0.3333333333333333,0.2,0.13636363636363635,0.21428571428571427,0.175,0.23809523809523808,0.7192982456140351,0.5663716814159292,0.8838174273858921,0.5709969788519638,0.8222222222222222,0.06666666666666667,0.0,1.0,0.0,0.3333333333333333,0.0,0.1,0.3333333333333333,0.08333333333333333,0.25,0.5,1.0,0.8421052631578947,0.6857142857142857,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4166666666666667,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.2,0.8,0.34285714285714286,,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12,1.0,,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,0.4,0.20588235294117646,0.22727272727272727,0.14285714285714285,0.1875,0.14285714285714285,0.21212121212121213,0.25,0.15204678362573099,0.14893617021276595,0.11180124223602485,0.10526315789473684,0.09944751381215469,0.030303030303030304,0.0931174089068826,0.09187279151943463,0.13333333333333333,0.09803921568627451,0.03636363636363636,0.12280701754385964,0.09615384615384616,0.07339449541284404,0.047872340425531915,0.053691275167785234,0.05759162303664921,0.07179487179487179,0.0707070707070707,0.06741573033707865,0.02252252252252252,0.07253886010362694,0.0726643598615917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Brachiacantha ursina,"(42.31722259521485, -71.00861358642578)",2007,0.8571428571428571,1.0,0.2,0.0,0.0,0.14285714285714285,0.0,0.0625,0.05263157894736842,0.05405405405405406,0.20454545454545456,0.045454545454545456,0.23684210526315788,0.08823529411764706,0.15625,0.9090909090909091,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.14285714285714285,0.16666666666666666,0.43243243243243246,0.631578947368421,1.0,0.5714285714285714,0.75,0.07692307692307693,0.3333333333333333,0.2,0.18181818181818182,0.5,0.125,0.3333333333333333,0.7017543859649122,0.4690265486725664,0.6763485477178424,0.527190332326284,0.8177777777777778,0.26666666666666666,0.0,0.75,0.0,0.0,0.0,0.1,0.16666666666666666,0.041666666666666664,0.125,0.21428571428571427,0.3333333333333333,0.15789473684210525,0.2,0.1590909090909091,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.6,0.8666666666666667,0.44285714285714284,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3,0.14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,0.2,0.17647058823529413,0.4696969696969697,0.6326530612244898,0.5,0.6883116883116883,0.4696969696969697,0.3333333333333333,0.28654970760233917,0.3404255319148936,0.32298136645962733,0.22807017543859648,0.18232044198895028,0.19696969696969696,0.1902834008097166,0.21908127208480566,0.1111111111111111,0.21568627450980393,0.3090909090909091,0.14035087719298245,0.2692307692307692,0.07339449541284404,0.05851063829787234,0.0738255033557047,0.08376963350785341,0.06666666666666667,0.10101010101010101,0.06741573033707865,0.05855855855855856,0.17616580310880828,0.16608996539792387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Brachiacantha ursina,"(43.0767029177, -89.5210551295)",2007,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05263157894736842,0.10810810810810811,0.11363636363636363,0.0,0.05263157894736842,0.04411764705882353,0.052083333333333336,0.0,0.0,0.0,0.5,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0625,0.0,0.08333333333333333,0.15384615384615385,0.8333333333333334,0.1,0.0,0.0,0.025,0.21428571428571427,0.22807017543859648,0.11504424778761062,0.06639004149377593,0.06042296072507553,0.054814814814814816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.375,0.07142857142857142,0.05555555555555555,0.10526315789473684,0.4,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.2,0.1323529411764706,0.06060606060606061,0.12244897959183673,0.046875,0.06493506493506493,0.045454545454545456,0.10416666666666667,0.07602339181286549,0.11702127659574468,0.16770186335403728,0.07456140350877193,0.11049723756906077,0.025252525252525252,0.08502024291497975,0.13427561837455831,0.6222222222222222,0.45098039215686275,0.32727272727272727,0.3508771929824561,0.28846153846153844,0.1834862385321101,0.18085106382978725,0.2751677852348993,0.17801047120418848,0.28205128205128205,0.30303030303030304,0.3595505617977528,0.23873873873873874,0.31088082901554404,0.7958477508650519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Brachiacantha ursina,"(42.317222, -71.008611)",2007,0.8571428571428571,1.0,0.2,0.0,0.0,0.14285714285714285,0.0,0.0625,0.05263157894736842,0.05405405405405406,0.20454545454545456,0.045454545454545456,0.23684210526315788,0.08823529411764706,0.15625,0.9090909090909091,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.14285714285714285,0.16666666666666666,0.43243243243243246,0.631578947368421,1.0,0.5714285714285714,0.75,0.07692307692307693,0.3333333333333333,0.2,0.18181818181818182,0.5,0.125,0.3333333333333333,0.7017543859649122,0.4690265486725664,0.6763485477178424,0.527190332326284,0.8177777777777778,0.26666666666666666,0.0,0.75,0.0,0.0,0.0,0.1,0.16666666666666666,0.041666666666666664,0.125,0.21428571428571427,0.3333333333333333,0.15789473684210525,0.2,0.1590909090909091,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08333333333333333,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.6,0.8666666666666667,0.44285714285714284,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3,0.14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,0.2,0.17647058823529413,0.4696969696969697,0.6326530612244898,0.5,0.6883116883116883,0.4696969696969697,0.3333333333333333,0.28654970760233917,0.3404255319148936,0.32298136645962733,0.22807017543859648,0.18232044198895028,0.19696969696969696,0.1902834008097166,0.21908127208480566,0.1111111111111111,0.21568627450980393,0.3090909090909091,0.14035087719298245,0.2692307692307692,0.07339449541284404,0.05851063829787234,0.0738255033557047,0.08376963350785341,0.06666666666666667,0.10101010101010101,0.06741573033707865,0.05855855855855856,0.17616580310880828,0.16608996539792387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Brachiacantha ursina,"(42.028619, -94.85571)",2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.024844720496894408,0.0,0.0,0.030303030303030304,0.004048582995951417,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.0,0.010380622837370242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Brachiacantha ursina,"(42.387432, -94.632554)",2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0045045045045045045,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Brachiacantha ursina,"(40.715949, -73.602538)",2007,0.0,0.4,0.2,0.3333333333333333,0.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.05405405405405406,0.022727272727272728,0.0,0.05263157894736842,0.04411764705882353,0.03125,0.0,0.25,0.0,0.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.0,0.75,0.0,0.07142857142857142,0.0,0.05405405405405406,0.07894736842105263,0.0,0.14285714285714285,0.3333333333333333,0.3076923076923077,0.16666666666666666,0.3,0.0,0.2857142857142857,0.025,0.07142857142857142,0.22807017543859648,0.07964601769911504,0.08298755186721991,0.13141993957703926,0.0725925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.125,0.07142857142857142,0.05555555555555555,0.0,0.05714285714285714,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.02857142857142857,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.2,0.38235294117647056,0.25757575757575757,0.42857142857142855,0.390625,0.6493506493506493,0.5454545454545454,0.2569444444444444,0.32748538011695905,0.5425531914893617,0.2857142857142857,0.18859649122807018,0.19889502762430938,0.19696969696969696,0.15384615384615385,0.1978798586572438,0.37777777777777777,0.29411764705882354,0.16363636363636364,0.45614035087719296,0.6923076923076923,0.24770642201834864,0.25,0.31543624161073824,0.21465968586387435,0.24615384615384617,0.20202020202020202,0.2247191011235955,0.19369369369369369,0.15025906735751296,0.370242214532872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Brachiacantha ursina,"(44.414581, -92.69681)",2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004531722054380665,0.002962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.034722222222222224,0.011695906432748537,0.0,0.0,0.0043859649122807015,0.0,0.015151515151515152,0.004048582995951417,0.0176678445229682,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.02127659574468085,0.040268456375838924,0.010471204188481676,0.02564102564102564,0.020202020202020204,0.011235955056179775,0.036036036036036036,0.06735751295336788,0.09688581314878893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Brachiacantha ursina,"(45.540863, -94.495886)",2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.02631578947368421,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.004531722054380665,0.002962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,,,,,,,,,,,,,,,0.0,0.0,0.015151515151515152,0.061224489795918366,0.015625,0.012987012987012988,0.015151515151515152,0.0,0.0,0.0,0.012422360248447204,0.013157894736842105,0.0055248618784530384,0.010101010101010102,0.008097165991902834,0.024734982332155476,0.0,0.0784313725490196,0.10909090909090909,0.10526315789473684,0.07692307692307693,0.01834862385321101,0.047872340425531915,0.006711409395973154,0.015706806282722512,0.08205128205128205,0.08080808080808081,0.10112359550561797,0.09009009009009009,0.17098445595854922,0.10726643598615918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Brachiacantha ursina,"(44.971331, -93.362357)",2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.045454545454545456,0.07575757575757576,0.0,0.1323529411764706,0.020833333333333332,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.08333333333333333,0.10810810810810811,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07142857142857142,0.0,0.16666666666666666,0.3508771929824561,0.11504424778761062,0.16182572614107885,0.13595166163141995,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.5,0.2857142857142857,0.1111111111111111,0.10526315789473684,0.3142857142857143,0.4318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.8,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.13333333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.8571428571428571,0.6666666666666666,0.0,0.0,0.6,1.0,,,,,,,,,,,,,,,0.0,0.04411764705882353,0.030303030303030304,0.04081632653061224,0.03125,0.012987012987012988,0.045454545454545456,0.020833333333333332,0.011695906432748537,0.0851063829787234,0.018633540372670808,0.017543859649122806,0.06629834254143646,0.06060606060606061,0.04048582995951417,0.053003533568904596,0.022222222222222223,0.0392156862745098,0.03636363636363636,0.03508771929824561,0.019230769230769232,0.01834862385321101,0.015957446808510637,0.040268456375838924,0.04712041884816754,0.07179487179487179,0.05555555555555555,0.11797752808988764,0.06306306306306306,0.06735751295336788,0.0657439446366782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
