gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3300596394	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NZ:OBS1032099394	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	US-AK-Homer-1002 Ocean Drive Loop - 59.6352x-151.5183	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	59.635162	-151.51833							2020-12-19T00:00:00	19	12	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NZ	OBS1032099394				CC_BY_4_0		obsr498830			2021-09-25T20:54:09.460Z		
3298482645	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS877364044	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	Woodland Bottoms--Stenerson Rd	Washington	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.91865	-122.775475							2020-03-11T00:00:00	11	3	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS877364044				CC_BY_4_0		obsr430003			2021-09-25T20:01:33.405Z		
3298221463	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS862977265	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	Woodland Bottoms--Stenerson Rd	Washington	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.91865	-122.775475							2020-02-11T00:00:00	11	2	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS862977265				CC_BY_4_0		obsr503468			2021-09-25T20:03:39.854Z		
3297646221	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ATL_NZ:OBS1032915048	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	US-AK-Homer-1002 Ocean Drive Loop - 59.6352x-151.5183	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	59.635162	-151.51833							2020-12-20T00:00:00	20	12	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD_ATL_NZ	OBS1032915048				CC_BY_4_0		obsr498830			2021-09-25T20:28:40.576Z		
3297606077	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS861520896	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	118 Stenerson Rd, Woodland US-WA (45.9187,-122.7725)	Washington	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.918724	-122.77246							2020-02-08T00:00:00	8	2	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS861520896				CC_BY_4_0		obsr724291			2021-09-25T20:17:15.550Z		
3295742224	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1039268292	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	786 Ocean Drive Loop, Homer US-AK (59.6353,-151.5246)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	59.63531	-151.52464							2020-12-24T00:00:00	24	12	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS1039268292				CC_BY_4_0		obsr545278			2021-09-25T20:23:52.296Z		
3295021463	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS981705309	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	Woodland Bottoms--Stenerson Rd	Washington	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.91865	-122.775475							2020-02-16T00:00:00	16	2	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS981705309				CC_BY_4_0		obsr1589987			2021-09-25T20:15:17.074Z		
3294244205	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS872494065	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	Woodland Bottoms--Stenerson Rd	Washington	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.91865	-122.775475							2020-03-01T00:00:00	1	3	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS872494065				CC_BY_4_0		obsr205340			2021-09-25T20:19:09.848Z		
3288167759	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1035754990	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	751 Ocean Drive Loop, Homer, Alaska, US (59.635, -151.523)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	59.635147	-151.52287							2020-12-25T00:00:00	25	12	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS1035754990				CC_BY_4_0		obsr622371			2021-09-25T20:21:39.884Z		
3287272364	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1032891931	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	Prunella montanella		SPECIES	Prunella montanella (Pallas, 1776)	Prunella montanella		US	939 Ocean Drive Loop, Homer US-AK (59.6351,-151.5196)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	59.63512	-151.51962							2020-12-20T00:00:00	20	12	2020	5231759	5231759	HUMAN_OBSERVATION	CLO	EBIRD	OBS1032891931				CC_BY_4_0		obsr321125			2021-09-25T20:14:09.836Z		
