gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3283851265	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS948511838	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-10T00:00:00	10	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS948511838				CC_BY_4_0		obsr25766			2021-09-25T20:16:44.223Z		
3259910307	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS948511786	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-11T00:00:00	11	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS948511786				CC_BY_4_0		obsr25766			2021-09-25T20:09:36.230Z		
3247577016	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS948511777	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-12T00:00:00	12	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS948511777				CC_BY_4_0		obsr25766			2021-09-25T20:06:53.883Z		
3169256326	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS948511962	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-09T00:00:00	9	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS948511962				CC_BY_4_0		obsr25766			2021-09-25T18:59:27.916Z		
2795369554	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS885060020	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella lanceolata		SPECIES	Locustella lanceolata (Temminck, 1840)	Locustella lanceolata		US	Buldir Island	Alaska	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	52.35044	175.9172							2007-06-13T00:00:00	13	6	2007	2493550	2493550	HUMAN_OBSERVATION	CLO	EBIRD	OBS885060020				CC_BY_4_0		obsr163746			2021-09-25T18:46:25.826Z		
2782567466	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS805601096	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-12T00:00:00	12	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS805601096				CC_BY_4_0		obsr162787			2021-09-25T18:41:27.025Z		
2779095761	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS804217080	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella ochotensis		SPECIES	Locustella ochotensis (Middendorff, 1853)	Locustella ochotensis		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-08T00:00:00	8	9	2019	2493553	2493553	HUMAN_OBSERVATION	CLO	EBIRD	OBS804217080				CC_BY_4_0		obsr443144			2021-09-25T18:43:51.661Z		
2777555651	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS803703875	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-09T00:00:00	9	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS803703875				CC_BY_4_0		obsr949865			2021-09-25T18:43:56.889Z		
2777310426	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS803975758	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella certhiola		SPECIES	Locustella certhiola (Pallas, 1811)	Locustella certhiola		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-10T00:00:00	10	9	2019	2493556	2493556	HUMAN_OBSERVATION	CLO	EBIRD	OBS803975758				CC_BY_4_0		obsr209998			2021-09-25T19:56:42.103Z		
2773974258	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS805600593	Animalia	Chordata	Aves	Passeriformes	Locustellidae	Locustella	Locustella ochotensis		SPECIES	Locustella ochotensis (Middendorff, 1853)	Locustella ochotensis		US	Gambell (general area)	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2019-09-08T00:00:00	8	9	2019	2493553	2493553	HUMAN_OBSERVATION	CLO	EBIRD	OBS805600593				CC_BY_4_0		obsr162787			2021-09-25T18:49:07.284Z		
