gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3300392651	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS984522016	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Mile Square Regional Park, Fountain Valley	California	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.724663	-117.93952							2020-09-20T00:00:00	20	9	2020	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS984522016				CC_BY_4_0		obsr1150017			2021-09-25T20:30:49.678Z		
3300272502	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS946370342	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Richardson Monument (MP F197.6 Richardson Hwy)	Alaska	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.18368	-145.54356							2020-06-19T00:00:00	19	6	2020	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS946370342				CC_BY_4_0		obsr495487			2021-09-25T20:50:51.706Z		
3300204315	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS948516923	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Gambell (general area)	Alaska	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2015-09-03T00:00:00	3	9	2015	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS948516923				CC_BY_4_0		obsr25766			2021-09-25T20:22:18.358Z		
3300204313	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS948515005	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Gambell (general area)	Alaska	PRESENT	6	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.7793	-171.72145							2017-09-04T00:00:00	4	9	2017	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS948515005				CC_BY_4_0		obsr25766			2021-09-25T20:22:18.354Z		
3298456272	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1108800803	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Nome-Council Road--Nome River Bridge to Safety Sound	Alaska	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	64.45465	-165.08328							2013-06-13T00:00:00	13	6	2013	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS1108800803				CC_BY_4_0		obsr206965			2021-09-25T20:24:30.136Z		
3297984010	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1059646560	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Denali Highway	Alaska	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	63.077	-146.6893							2018-06-16T00:00:00	16	6	2018	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS1059646560				CC_BY_4_0		obsr105983			2021-09-25T20:24:01.674Z		
3297966716	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1032639677	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Wiseman	Alaska	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	67.41057	-150.1116							2020-08-24T00:00:00	24	8	2020	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS1032639677				CC_BY_4_0		obsr495487			2021-09-25T20:18:57.085Z		
3297878213	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1063826028	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Denali Hwy	Alaska	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	63.730892	-148.91716							2009-06-18T00:00:00	18	6	2009	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS1063826028				CC_BY_4_0		obsr169581			2021-09-25T20:26:55.619Z		
3297783296	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS984338868	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	Mile Square Regional Park, Fountain Valley	California	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.724663	-117.93952							2020-09-20T00:00:00	20	9	2020	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS984338868				CC_BY_4_0		obsr341625			2021-09-25T20:54:39.270Z		
3296264137	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS965245272	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus borealis		SPECIES	Phylloscopus borealis (J.H.Blasius, 1858)	Phylloscopus borealis		US	VMT home	Alaska	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	59.04297	-158.54886							2020-08-07T00:00:00	7	8	2020	2493071	2493071	HUMAN_OBSERVATION	CLO	EBIRD	OBS965245272				CC_BY_4_0		obsr1006677			2021-09-25T20:05:17.485Z		
