gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3301209976	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1046647899	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-30T00:00:00	30	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1046647899				CC_BY_4_0		obsr1285479			2021-09-25T20:26:28.482Z		
3301106426	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1022358276	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-12-03T00:00:00	3	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1022358276				CC_BY_4_0		obsr146576			2021-09-25T20:11:21.159Z		
3301088311	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_TX:OBS1023395656	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-04T00:00:00	4	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD_TX	OBS1023395656				CC_BY_4_0		obsr30058			2021-09-25T20:25:53.068Z		
3300305012	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS939818358	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-06-08T00:00:00	8	6	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS939818358				CC_BY_4_0		obsr1234439			2021-09-25T20:08:07.613Z		
3300188891	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS940700691	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-06-10T00:00:00	10	6	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS940700691				CC_BY_4_0		obsr201387			2021-09-25T20:50:36.048Z		
3300163989	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS946031356	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Estero Llano Grande SP WBC (LTC 054)	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.12587	-97.957275							2017-01-13T00:00:00	13	1	2017	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS946031356				CC_BY_4_0		obsr1447981			2021-09-25T20:22:09.264Z		
3300073663	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1064511984	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Estero Llano Grande SP WBC (LTC 054)	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.12587	-97.957275							2017-02-20T00:00:00	20	2	2017	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1064511984				CC_BY_4_0		obsr1960064			2021-09-25T20:10:47.275Z		
3299978469	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1017489194	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-11-25T00:00:00	25	11	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1017489194				CC_BY_4_0		obsr213864			2021-09-25T20:55:47.596Z		
3299802841	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS922192714	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-05-14T00:00:00	14	5	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS922192714				CC_BY_4_0		obsr8466			2021-09-25T20:18:04.455Z		
3299062369	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS952388406	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Tubac Bridge Rd & Anza Trail	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612606	-111.0416							2020-07-05T00:00:00	5	7	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS952388406				CC_BY_4_0		obsr250068			2021-09-25T20:50:46.310Z		
3298924347	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS916185371	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-05-09T00:00:00	9	5	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS916185371				CC_BY_4_0		obsr348753			2021-09-25T20:11:14.780Z		
3298769296	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS863625189	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Resaca de la Palma SP WBC (Brownsville) (LTC 048)	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	25.996584	-97.56905							2020-02-13T00:00:00	13	2	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS863625189				CC_BY_4_0		obsr334150			2021-09-25T20:02:58.962Z		
3298706483	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1039200652	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-29T00:00:00	29	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1039200652				CC_BY_4_0		obsr205437			2021-09-25T20:23:17.342Z		
3298606570	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1024940068	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Salineño Wildlife Preserve (LTC 080)	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	26.514858	-99.1162							2020-12-07T00:00:00	7	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1024940068				CC_BY_4_0		obsr163746			2021-09-25T20:25:45.559Z		
3298460833	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1022836584	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-12-04T00:00:00	4	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1022836584				CC_BY_4_0		obsr338085			2021-09-25T20:24:29.779Z		
3298323562	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1024080024	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-06T00:00:00	6	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1024080024				CC_BY_4_0		obsr184636			2021-09-25T20:25:18.175Z		
3298290506	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_TX:OBS1034067200	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-22T00:00:00	22	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD_TX	OBS1034067200				CC_BY_4_0		obsr116833			2021-09-25T20:25:51.888Z		
3296566822	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1024059246	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-06T00:00:00	6	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1024059246				CC_BY_4_0		obsr1512380			2021-09-25T20:19:25.797Z		
3296408998	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1018300724	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-11-26T00:00:00	26	11	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1018300724				CC_BY_4_0		obsr350213			2021-09-25T20:25:31.357Z		
3296082142	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1016487615	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-11-23T00:00:00	23	11	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1016487615				CC_BY_4_0		obsr447282			2021-09-25T20:24:00.332Z		
3295737599	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1007582637	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-09-24T00:00:00	24	9	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1007582637				CC_BY_4_0		obsr1545456			2021-09-25T20:27:39.923Z		
3295700427	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1021369762	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-01T00:00:00	1	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1021369762				CC_BY_4_0		obsr191842			2021-09-25T20:22:47.562Z		
3295314268	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1030974491	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-12-18T00:00:00	18	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1030974491				CC_BY_4_0		obsr426061			2021-09-25T20:22:08.644Z		
3295303970	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1040964188	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	De Anza Trail--Tubac	Arizona	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	31.612831	-111.04083							2020-12-31T00:00:00	31	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1040964188				CC_BY_4_0		obsr166814			2021-09-25T20:22:52.173Z		
3295079585	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1018670284	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-11-22T00:00:00	22	11	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1018670284				CC_BY_4_0		obsr950755			2021-09-25T20:23:21.546Z		
3294846093	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1022246711	Animalia	Chordata	Aves	Passeriformes	Cotingidae	Pachyramphus	Pachyramphus aglaiae		SPECIES	Pachyramphus aglaiae (Lafresnaye, 1839)	Pachyramphus aglaiae		US	Falfurrias Cemetery	Texas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	27.236162	-98.14979							2020-12-03T00:00:00	3	12	2020	5230329	5230329	HUMAN_OBSERVATION	CLO	EBIRD	OBS1022246711				CC_BY_4_0		obsr404651			2021-09-25T20:23:33.056Z		
