gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3300557218	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS999335645	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Little Corona City Beach	California	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.590385	-117.870255							2007-10-16T00:00:00	16	10	2007	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS999335645				CC_BY_4_0		obsr1396300			2021-09-25T20:25:39.321Z		
3300553698	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS973329936	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Upper Santa Ana River--Tustin Ave. to Lakeview Ave.	California	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.851315	-117.82631							2020-08-28T00:00:00	28	8	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS973329936				CC_BY_4_0		obsr743798			2021-09-25T20:08:09.697Z		
3300422311	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS957445325	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Shoreline Park--kite flying area	California	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.42981	-122.07681							2020-07-17T00:00:00	17	7	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS957445325				CC_BY_4_0		obsr600965			2021-09-25T20:51:23.730Z		
3300396712	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS959310655	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Upper Santa Ana River--Glassell St. to Tustin Ave.	California	PRESENT	5	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.846252	-117.843414							2020-07-22T00:00:00	22	7	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS959310655				CC_BY_4_0		obsr421715			2021-09-25T20:20:03.458Z		
3300209154	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS942420308	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Ken Malloy Harbor Regional Park	California	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.787457	-118.29394							2020-06-13T00:00:00	13	6	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS942420308				CC_BY_4_0		obsr123794			2021-09-25T20:50:40.705Z		
3300158796	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS968800248	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Los Angeles River--Willow St.	California	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.804897	-118.20594							2020-08-16T00:00:00	16	8	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS968800248				CC_BY_4_0		obsr280451			2021-09-25T20:30:04.803Z		
3299999966	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS955726102	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	10515 Dunlap Crossing Rd, Whittier US-CA (33.9846,-118.0743)	California	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.98459	-118.074265							2020-07-11T00:00:00	11	7	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS955726102				CC_BY_4_0		obsr57955			2021-09-25T20:13:46.037Z		
3299817538	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS922728746	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Peck Rd. Water Conservation Park	California	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	34.10053	-118.01333							2020-05-15T00:00:00	15	5	2020	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS922728746				CC_BY_4_0		obsr280451			2021-09-25T20:18:06.236Z		
3299740497	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1083419890	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	Huntington Central Park--East	California	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	33.704098	-118.002235							2015-10-09T00:00:00	9	10	2015	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS1083419890				CC_BY_4_0		obsr664710			2021-09-25T20:53:28.647Z		
3299437772	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1040703492	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	Euplectes franciscanus		SPECIES	Euplectes franciscanus (Isert, 1789)	Euplectes franciscanus		US	San Gabriel River--Whittier Narrows Dam to Beverly Blvd.	California	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	34.013844	-118.06202							2010-09-01T00:00:00	1	9	2010	2494086	2494086	HUMAN_OBSERVATION	CLO	EBIRD	OBS1040703492				CC_BY_4_0		obsr185977			2021-09-25T20:22:57.694Z		
