gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3301265493	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1073273141	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Haleakala NP--Hosmer Grove	Hawaii	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	20.768417	-156.23659							2011-01-31T00:00:00	31	1	2011	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS1073273141				CC_BY_4_0		obsr820314			2021-09-25T20:14:50.750Z		
3300887798	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1017704365	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Kuaokala Game Management Area	Hawaii	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	21.57528	-158.23636							2020-11-25T00:00:00	25	11	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS1017704365				CC_BY_4_0		obsr7948			2021-09-25T20:17:03.287Z		
3300011700	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS934754649	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Kawaiele State Waterbird Sanctuary	Hawaii	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	22.00998	-159.76796							2020-05-30T00:00:00	30	5	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS934754649				CC_BY_4_0		obsr407406			2021-09-25T20:05:24.037Z		
3299547871	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1053217953	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Waimea Canyon	Hawaii	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	22.071404	-159.66199							2019-08-04T00:00:00	4	8	2019	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS1053217953				CC_BY_4_0		obsr747520			2021-09-25T20:22:18.486Z		
3299052786	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1026191422	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Lower 'Aiea Loop Trail and Keaiwa Heiau SP	Hawaii	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	21.398817	-157.90005							2020-12-09T00:00:00	9	12	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS1026191422				CC_BY_4_0		obsr1121855			2021-09-25T20:22:22.715Z		
3298994662	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS880115636	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Palila Forest Discovery Trail	Hawaii	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.83169	-155.59482							2020-03-17T00:00:00	17	3	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS880115636				CC_BY_4_0		obsr42356			2021-09-25T20:47:53.218Z		
3298808955	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS864276889	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Kaluapuhi Trail	Hawaii	PRESENT	6	e2e717bf-551a-4917-bdc9-4fa0f342c530	22.150793	-159.64156							2020-02-14T00:00:00	14	2	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS864276889				CC_BY_4_0		obsr673031			2021-09-25T20:03:01.253Z		
3298581636	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS879014235	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Hawai'i Volcanoes NP -- Steam Vents and Sulfur Banks Only	Hawaii	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.43088	-155.2674							2020-03-15T00:00:00	15	3	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS879014235				CC_BY_4_0		obsr414600			2021-09-25T20:01:40.224Z		
3298488770	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS868407441	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Palila TR 108-17	Hawaii	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.755028	-155.49051							2020-02-05T00:00:00	5	2	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS868407441				CC_BY_4_0		obsr247143			2021-09-25T20:47:22.001Z		
3298267005	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS874166227	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Pu'u La'au, Palila Discovery Trail and Ka'ohe GMA	Hawaii	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.831913	-155.59477							2020-03-03T00:00:00	3	3	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS874166227				CC_BY_4_0		obsr8348			2021-09-25T20:01:20.113Z		
3298239809	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS863419447	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Manana Trailhead, Pacific Palasides	Hawaii	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	21.430073	-157.93816							2020-02-12T00:00:00	12	2	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS863419447				CC_BY_4_0		obsr243412			2021-09-25T20:47:10.614Z		
3298075890	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1034866510	Animalia	Chordata	Aves	Passeriformes	Cettiidae	Horornis	Horornis diphone		SPECIES	Horornis diphone (Kittlitz, 1830)	Horornis diphone		US	Turtle Bay North	Hawaii	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	21.708666	-157.97966							2020-12-23T00:00:00	23	12	2020	8351644	8351644	HUMAN_OBSERVATION	CLO	EBIRD	OBS1034866510				CC_BY_4_0		obsr448407			2021-09-25T20:19:02.196Z		
